#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="BirthDeath.t:sample4_aligned" spec="beast.base.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:sample4_aligned" lower="0.0" name="relativeDeathRate" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:sample4_aligned" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:sample4_aligned" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.sample4_aligned" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:sample4_aligned" name="distribution" x="@BDBirthRate.t:sample4_aligned">
#            <Uniform id="Uniform.3" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:sample4_aligned" name="distribution" x="@BDDeathRate.t:sample4_aligned">
#            <Uniform id="Uniform.4" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@sample4_aligned" id="treeLikelihood.sample4_aligned" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:sample4_aligned">
#            <siteModel id="SiteModel.s:sample4_aligned" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:sample4_aligned" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:sample4_aligned" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:sample4_aligned" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:sample4_aligned" spec="beast.base.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:sample4_aligned" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:sample4_aligned" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	BirthDeath	BDBirthRate	BDDeathRate
0	-83085.45305063059	-83077.3180947854	-8.134955845191493	-83077.3180947854	0.5152849033384634	1.5207504488239523	-1.227200566209357	1.0	0.5
1000	-47241.1677302105	-47239.93792272772	-1.2298074827858816	-47239.93792272772	0.08939175457623588	0.18032527779364158	5.677947796196255	18.613752344720393	0.8112332647721983
2000	-42882.606377722725	-42887.771754028974	5.165376306248575	-42887.771754028974	0.009249673924946033	0.01950879559059189	12.073131585230712	18.871614439345002	0.8615678292594846
3000	-42631.29853467044	-42640.06881682071	8.770282150275898	-42640.06881682071	0.002198538873219714	0.005104628966531685	15.678037429258035	123.20544245124627	0.685861903207504
4000	-42630.71826566404	-42639.938707541	9.220441876952961	-42639.938707541	0.0020841324037193585	0.004770489950608905	16.128197155935098	706.9548087184688	0.3908807776431138
5000	-42634.0243778526	-42643.584539675205	9.560161822603451	-42643.584539675205	0.0020616053796501713	0.004599954089756327	16.467917101585588	609.6176860936305	0.13036036968448664
6000	-42630.74637726763	-42640.24303799076	9.4966607231325	-42640.24303799076	0.0019389865519754855	0.004487447312010988	16.404416002114637	864.5345861432809	0.007029063697551443
7000	-42631.9638178628	-42641.409846490766	9.44602862796199	-42641.409846490766	0.0018327120698445984	0.004233778682099187	16.353783906944127	236.9981788093451	0.5165850625503166
8000	-42632.65949486228	-42641.87156783207	9.212072969793297	-42641.87156783207	0.0019855562889873725	0.004437356969289373	16.119828248775434	969.7929063504143	0.3089958919199397
9000	-42634.7493002949	-42641.504333353376	6.755033058479846	-42641.504333353376	0.001852540172678865	0.0042374896961459435	13.662788337461983	277.02838981254524	0.9686084412401115
10000	-42633.07239936472	-42642.829017009986	9.75661764527037	-42642.829017009986	0.0017841153573895606	0.004146108670852721	16.664372924252508	599.6261629791907	0.5162369273459063
11000	-42633.33057775648	-42641.233718067415	7.903140310934553	-42641.233718067415	0.0023642260197924794	0.005534554845041291	14.81089558991669	838.0634790389545	0.48376763557777075
12000	-42631.98385267632	-42640.97734520793	8.99349253161559	-42640.97734520793	0.0023420728122778072	0.005469994502849107	15.901247810597727	268.73104647116224	0.5758096731247447
13000	-42631.93270241971	-42641.04972800615	9.117025586441667	-42641.04972800615	0.0020970124735269265	0.004937934953158725	16.024780865423804	527.7785963567294	0.5473141977397515
14000	-42633.200407380056	-42642.15869847883	8.958291098774207	-42642.15869847883	0.0022413831290521925	0.005005841498511084	15.866046377756344	276.7623725327308	0.2794831435777039
15000	-42631.56017755423	-42640.71488306184	9.154705507610853	-42640.71488306184	0.0019498282114709068	0.004435924565265112	16.06246078659299	310.9381905915932	0.16707909978094193
16000	-42630.703761167315	-42640.32619579689	9.62243462958208	-42640.32619579689	0.0019462123027080727	0.004488965788159896	16.530189908564218	595.3445740757602	0.2184589099524428
17000	-42631.668277303215	-42641.19535151493	9.527074211713657	-42641.19535151493	0.0019833636040582484	0.004581852172890575	16.434829490695794	671.1981476179213	0.1960985821024339
18000	-42631.6438944499	-42640.516396421255	8.87250197135436	-42640.516396421255	0.0022151914322909934	0.005211361152798568	15.780257250336497	694.7315816061555	0.3363117040725005
19000	-42632.191044449086	-42641.45034997019	9.259305521103578	-42641.45034997019	0.001832168952531864	0.004227722352241753	16.167060800085714	634.8572347909912	0.6890439699115694
20000	-42634.61127194512	-42643.646368222035	9.035096276916715	-42643.646368222035	0.002259070473413166	0.004988692279280408	15.942851555898852	370.94070728189456	0.04703252337878087
21000	-42632.22460710022	-42640.90076846963	8.676161369409133	-42640.90076846963	0.0020735932635763607	0.004762315264156734	15.58391664839127	707.6992053891265	0.6483764311542626
22000	-42631.45976115078	-42640.42504389091	8.965282740128014	-42640.42504389091	0.002293766236768044	0.0053448318097219435	15.873038019110151	351.36685104108665	0.21050347050915869
23000	-42633.63971974575	-42642.71832779132	9.078608045570228	-42642.71832779132	0.001955768788752725	0.004641010116775817	15.986363324552364	274.63591141995556	0.2968061276180172
24000	-42631.32531845367	-42641.06084164081	9.735523187134312	-42641.06084164081	0.001836193090107051	0.004263957993239606	16.64327846611645	220.76245775878215	0.7802934974528611
25000	-42630.92428565376	-42640.268148649375	9.34386299561423	-42640.268148649375	0.002124672020375386	0.004919234724617088	16.251618274596368	336.9707946296988	0.5474519707479519
26000	-42631.3743047715	-42640.08089424545	8.706589473948462	-42640.08089424545	0.0022531862313870886	0.005222990176117541	15.614344752930599	943.1451192026798	0.009125132743135506
27000	-42631.037899667775	-42640.596964371485	9.55906470371307	-42640.596964371485	0.002016634893760151	0.004595461427734739	16.466819982695206	462.9573229085927	0.5411324542415417
28000	-42630.67562613341	-42640.25541949492	9.579793361511786	-42640.25541949492	0.0019787884977387734	0.004549057836657342	16.487548640493923	616.5507364274642	0.14432177420733852
29000	-42631.45657982421	-42640.74130728535	9.284727461138527	-42640.74130728535	0.001929120177692276	0.0044270766893019465	16.192482740120663	507.575678578935	0.7226256966443838
